#Empirical CDF function
#interArrival(x), interArrivalCdf(y)
0.004225,0.1848739495798314
0.004239,0.1858076563958911
0.00424,0.1867413632119509
0.004245,0.1876750700280106
0.004272,0.1886087768440704
0.004276,0.1895424836601302
0.004297,0.1904761904761899
0.00433,0.1914098972922497
0.004338,0.1923436041083094
0.004339,0.1932773109243692
0.004352,0.1942110177404289
0.004359,0.1951447245564887
0.00436,0.1960784313725484
0.004387,0.1970121381886082
0.004407,0.1979458450046679
0.004408,0.1988795518207277
0.004423,0.1998132586367874
0.004425,0.2007469654528472
0.004433,0.201680672268907
0.00444,0.2026143790849667
0.004484,0.2044817927170862
0.004484,0.2044817927170862
0.00449,0.205415499533146
0.004557,0.2063492063492057
0.004574,0.2072829131652655
0.004575,0.2082166199813252
0.004585,0.209150326797385
0.004592,0.2100840336134447
0.004595,0.2110177404295045
