#Exponential aproximation (linear regression) vs Original set
#ExpLr(x), ExpLr(CDF) 
5.256791122018419e-08,5.126437052638266e-10
5.366976945540476e-08,5.233889988076612e-10
5.479472336900293e-08,5.343595566031922e-10
5.594325706169378e-08,5.455601526094256e-10
5.711586478126435e-08,5.569954497630647e-10
5.831305113526219e-08,5.686704440677204e-10
5.95353313081437e-08,5.805901315270035e-10
6.078323128297236e-08,5.927597301891296e-10
6.2057288067765e-08,6.051843470800122e-10
6.335804992658255e-08,6.178694222924719e-10
6.46860766154632e-08,6.308203959193293e-10
6.604193962330306e-08,6.44042708053405e-10
6.742622241778349e-08,6.575423538990322e-10
6.883952069645497e-08,6.713248845713338e-10
7.028244264308353e-08,6.853962952746429e-10
7.175560918936921e-08,6.997625812132924e-10
7.32596542821523e-08,7.144300706585227e-10
7.479522515621828e-08,7.294049808592717e-10
7.636298261282242e-08,7.446938621313848e-10
7.796360130405237e-08,7.603031537684046e-10
7.959777002314978e-08,7.762396281307815e-10
8.126619200091946e-08,7.925100575789656e-10
8.296958520834915e-08,8.091216585626171e-10
8.470868266557402e-08,8.260813144644885e-10
8.648423275731727e-08,8.433965748011474e-10
8.829699955494083e-08,8.610746560222537e-10
9.014776314524918e-08,8.791234407112825e-10
9.20373199661823e-08,8.975503673624985e-10
9.396648314954691e-08,9.163636516262841e-10
9.593608287093146e-08,9.355712871084165e-10
9.794696670695386e-08,9.551813784369756e-10
1e-07,9.752026963738558e-10
1.020960662306048e-07,9.956435675917419e-10
1.042360673976401e-07,1.016512873874831e-09
1.064209244064725e-07,1.037819719051924e-09
1.086515774652537e-07,1.059573095929522e-09
1.109289864895223e-07,1.081782441403334e-09
1.132541315152813e-07,1.104457303391371e-09
1.156280131207375e-07,1.12760745185625e-09
1.180516528568806e-07,1.151242878805192e-09
1.205260936870841e-07,1.175373687267722e-09
1.230524004359261e-07,1.200010313340272e-09
1.256316602474121e-07,1.225163304141574e-09
1.28264983052806e-07,1.250843539857271e-09
1.309535020482668e-07,1.277062011695307e-09
1.336983741824945e-07,1.303830154952834e-09
1.365007806546014e-07,1.331159293904705e-09
1.393619274224144e-07,1.359061196914979e-09
1.422830457214352e-07,1.387548076436929e-09
1.452653925946781e-07,1.416631922879219e-09
1.483102514336103e-07,1.446325503806634e-09
1.514189325304352e-07,1.476641475761653e-09
1.545927736419479e-07,1.507592828353665e-09
1.578331405652117e-07,1.539192995281269e-09
1.61141427725302e-07,1.571455521265364e-09
1.645190587753661e-07,1.604394284093758e-09
1.679674872092653e-07,1.638023383598863e-09
1.714881969870541e-07,1.672357474724606e-09
1.750827031735723e-07,1.707411212414911e-09
1.787525525904236e-07,1.743199695702913e-09
1.824993244816151e-07,1.779738245666351e-09
