#Exponential aproximation (linear regression) vs Original set
#ExpLr(x), ExpLr(CDF) 
1.28264983052806e-06,1.091132939112782e-06
1.309535020482668e-06,1.114003795432694e-06
1.336983741824945e-06,1.137354039504324e-06
1.365007806546014e-06,1.161193719623199e-06
1.393619274224143e-06,1.185533094583135e-06
1.422830457214352e-06,1.210382638450191e-06
1.452653925946781e-06,1.235753044559473e-06
1.483102514336103e-06,1.261655230400116e-06
1.514189325304352e-06,1.288100342611287e-06
1.545927736419479e-06,1.315099761201033e-06
1.57833140565212e-06,1.342665104653307e-06
1.61141427725302e-06,1.370808235257037e-06
1.645190587753661e-06,1.399541263658044e-06
1.679674872092653e-06,1.428876554521175e-06
1.714881969870541e-06,1.458826731526308e-06
1.750827031735727e-06,1.489404683252538e-06
1.787525525904235e-06,1.520623568174173e-06
1.82499324481615e-06,1.552496820544924e-06
1.86324631193156e-06,1.585038156282081e-06
1.902301188668946e-06,1.618261578961722e-06
1.942174681489028e-06,1.652181385369822e-06
1.982883949127071e-06,1.686812172274621e-06
2.024446509976802e-06,1.722168842199778e-06
2.066880249629082e-06,1.75826660997469e-06
2.110203428568597e-06,1.79512100950685e-06
2.154434690031886e-06,1.832747900332166e-06
2.199593068030075e-06,1.871163474276294e-06
2.245697995539772e-06,1.91038426244905e-06
2.292769312865649e-06,1.95042714279392e-06
2.340827276178294e-06,1.991309346860426e-06
2.389892566231052e-06,2.033048467131593e-06
2.43998629725955e-06,2.075662465350625e-06
2.491130026067786e-06,2.119169679182242e-06
2.543345761304648e-06,2.163588831205487e-06
2.596655972934872e-06,2.208939035908131e-06
2.651083601908542e-06,2.255239808901521e-06
2.706652070033241e-06,2.302511074581126e-06
2.763385290053167e-06,2.350773174897292e-06
2.821307675939471e-06,2.400046878459072e-06
2.880444153396298e-06,2.450353388971926e-06
2.940820170587067e-06,2.501714354674611e-06
3.002461709085549e-06,2.554151877443012e-06
3.065395295056524e-06,2.607688522560103e-06
3.129648010670751e-06,2.662347328374892e-06
3.195247505759214e-06,2.718151815850334e-06
3.262222009711673e-06,2.77512599911045e-06
3.330600343624589e-06,2.833294395543362e-06
3.400411932703702e-06,2.892682036681471e-06
3.47168681892656e-06,2.953314478526536e-06
3.544455673970436e-06,3.015217812651905e-06
3.618749812411284e-06,3.078418677748829e-06
3.694601205199302e-06,3.142944270728698e-06
3.772042493416993e-06,3.208822358491403e-06
3.851107002325569e-06,3.276081290137789e-06
3.93182875570577e-06,3.344750008960062e-06
4.014242490499326e-06,3.414858064654247e-06
4.098383671757261e-06,3.486435626642859e-06
4.184288507901576e-06,3.559513496398381e-06
4.271993966306777e-06,3.634123121210031e-06
