#Exponential aproximation (linear regression) vs Original set
#ExpLr(x), ExpLr(CDF) 
3.40041193270371e-08,5.120075841080762e-08
3.471686818926559e-08,5.227396016049823e-08
3.544455673970436e-08,5.336965691604689e-08
3.618749812411276e-08,5.448832030019446e-08
3.694601205199302e-08,5.563043148359981e-08
3.772042493417001e-08,5.679648218404054e-08
3.851107002325569e-08,5.798697400027919e-08
3.93182875570577e-08,5.920241941126392e-08
4.014242490499318e-08,6.044334122101702e-08
4.098383671757262e-08,6.171027366885795e-08
4.184288507901584e-08,6.30037618742918e-08
4.271993966306777e-08,6.43243623921208e-08
4.361537789208006e-08,6.567264354551128e-08
4.45295850994266e-08,6.704918564803819e-08
4.546295469532399e-08,6.845458089266288e-08
4.641588833612782e-08,6.988943423991145e-08
4.738879609717651e-08,7.135436297378561e-08
4.838209664925958e-08,7.284999770096334e-08
4.939621743878326e-08,7.437698179568741e-08
5.043159487171359e-08,7.59359725099884e-08
5.148867450137498e-08,7.752764075164009e-08
5.256791122018419e-08,7.915267141722637e-08
5.366976945540476e-08,8.081176372520815e-08
5.479472336900293e-08,8.250563177103487e-08
5.594325706169378e-08,8.423500441612219e-08
5.711586478126435e-08,8.600062573194123e-08
5.831305113526219e-08,8.780325577717463e-08
5.95353313081437e-08,8.964367004260509e-08
6.078323128297236e-08,9.15226606723607e-08
6.2057288067765e-08,9.344103613084798e-08
6.335804992658255e-08,9.539962209093034e-08
6.46860766154632e-08,9.739926121188347e-08
6.604193962330306e-08,9.944081413859607e-08
6.742622241778349e-08,1.015251593905475e-07
6.883952069645497e-08,1.036531939169194e-07
7.028244264308353e-08,1.058258333186402e-07
7.175560918936921e-08,1.080440127365634e-07
7.32596542821523e-08,1.103086867404457e-07
7.479522515621828e-08,1.126208297730358e-07
7.636298261282242e-08,1.149814368162083e-07
7.796360130405237e-08,1.173915237240308e-07
7.959777002314978e-08,1.198521276668529e-07
8.126619200091946e-08,1.223643074643732e-07
8.296958520834915e-08,1.24929144251773e-07
8.470868266557402e-08,1.275477417017612e-07
8.648423275731727e-08,1.302212265796854e-07
8.829699955494083e-08,1.329507496317106e-07
9.014776314524918e-08,1.3573748514073e-07
9.20373199661823e-08,1.385826325916995e-07
9.396648314954691e-08,1.414874161165258e-07
9.593608287093146e-08,1.444530858263349e-07
9.794696670695386e-08,1.474809180335157e-07
1e-07,1.505722154737654e-07
1.020960662306048e-07,1.537283086383567e-07
1.042360673976401e-07,1.569505555520934e-07
1.064209244064725e-07,1.602403428835331e-07
1.086515774652537e-07,1.635990862780545e-07
1.109289864895223e-07,1.670282312460358e-07
1.132541315152813e-07,1.705292532738767e-07
1.156280131207375e-07,1.741036590452438e-07
1.180516528568806e-07,1.777529866631156e-07
1.205260936870841e-07,1.814788066489825e-07
1.230524004359261e-07,1.852827222759146e-07
1.256316602474121e-07,1.891663705677615e-07
1.28264983052806e-07,1.931314225211977e-07
1.309535020482668e-07,1.971795846600344e-07
1.336983741824945e-07,2.013125989241971e-07
1.365007806546014e-07,2.055322438909712e-07
1.393619274224144e-07,2.09840335441136e-07
1.422830457214352e-07,2.142387274250979e-07
1.452653925946781e-07,2.187293125510692e-07
1.483102514336103e-07,2.233140232732467e-07
1.514189325304352e-07,2.279948325689674e-07
1.545927736419479e-07,2.327737547158648e-07
1.578331405652117e-07,2.376528461800476e-07
1.61141427725302e-07,2.426342066152998e-07
1.645190587753661e-07,2.477199796402374e-07
1.679674872092653e-07,2.529123538375089e-07
1.714881969870541e-07,2.582135636419736e-07
