#Empirical CDF function
#INTER_ARRIVAL_DATASET(x), INTER_ARRIVAL_CDF(y)
0.007875999999999999,0.3700934579439262
0.007952000000000001,0.3719626168224309
0.008351000000000001,0.3738317757009356
0.008525,0.3757009345794403
0.008765,0.377570093457945
0.009021,0.3794392523364497
0.009082,0.3813084112149543
0.009207,0.383177570093459
0.009669000000000001,0.3850467289719637
0.009775000000000001,0.3869158878504684
0.009889999999999999,0.3887850467289731
0.010075,0.3906542056074778
0.010112,0.3925233644859825
0.010452,0.3943925233644872
0.010514,0.3962616822429919
0.010828,0.3981308411214966
0.010926,0.4000000000000013
0.010958,0.401869158878506
0.01097,0.4037383177570107
0.011094,0.4056074766355154
0.011095,0.4074766355140201
0.011124,0.4093457943925248
0.011338,0.4112149532710295
0.011414,0.4130841121495342
0.011539,0.4149532710280389
0.011614,0.4168224299065436
0.011998,0.4186915887850483
